replicate,sampled_years,threshold
68,2024|2025|2020|2018|2017|2022|2018|2022|2021|2025,z<-1
69,2023|2018|2020|2019|2018|2018|2025|2016|2018|2022,z<-1
70,2019|2022|2016|2025|2021|2024|2021|2024|2022|2025,z<-1
71,2018|2018|2022|2022|2019|2025|2023|2018|2022|2016,z<-1
72,2020|2017|2018|2017|2017|2020|2016|2018|2020|2017,z<-1
73,2025|2020|2021|2016|2018|2018|2021|2021|2022|2017,z<-1
74,2016|2019|2019|2021|2024|2019|2025|2017|2018|2019,z<-1
75,2022|2017|2019|2025|2016|2025|2022|2017|2017|2017,z<-1
76,2024|2024|2018|2020|2017|2016|2020|2016|2018|2019,z<-1
77,2019|2019|2021|2016|2025|2025|2021|2016|2021|2024,z<-1
78,2021|2025|2017|2019|2023|2024|2023|2025|2025|2020,z<-1
79,2017|2021|2017|2025|2025|2022|2023|2016|2021|2016,z<-1
80,2022|2019|2021|2022|2017|2025|2022|2019|2020|2018,z<-1
81,2023|2019|2019|2021|2023|2017|2021|2019|2018|2017,z<-1
82,2018|2021|2016|2024|2016|2023|2021|2023|2020|2023,z<-1
83,2020|2018|2018|2021|2020|2019|2018|2016|2022|2023,z<-1
84,2017|2018|2022|2019|2021|2025|2017|2022|2020|2021,z<-1
85,2018|2021|2019|2016|2017|2019|2025|2017|2024|2020,z<-1
86,2016|2018|2016|2024|2023|2020|2024|2024|2019|2020,z<-1
87,2019|2016|2017|2017|2024|2018|2017|2019|2017|2021,z<-1
88,2022|2017|2016|2024|2022|2017|2019|2022|2016|2018,z<-1
89,2023|2019|2019|2021|2023|2020|2025|2025|2021|2025,z<-1
90,2024|2019|2019|2024|2022|2020|2024|2019|2021|2025,z<-1
91,2018|2021|2020|2021|2018|2023|2024|2016|2016|2022,z<-1
92,2018|2024|2018|2022|2017|2016|2025|2021|2019|2023,z<-1
93,2023|2025|2021|2025|2018|2020|2016|2021|2019|2017,z<-1
94,2019|2023|2016|2023|2018|2022|2019|2018|2025|2018,z<-1
95,2019|2017|2025|2021|2016|2022|2018|2022|2017|2020,z<-1
96,2025|2018|2019|2025|2017|2016|2022|2017|2025|2019,z<-1
97,2018|2016|2023|2023|2025|2017|2016|2018|2020|2019,z<-1
98,2025|2017|2021|2021|2023|2022|2021|2017|2021|2017,z<-1
99,2025|2023|2018|2018|2022|2019|2022|2019|2023|2020,z<-1
100,2020|2022|2024|2016|2023|2016|2025|2020|2024|2019,z<-1
101,2022|2018|2023|2025|2022|2016|2025|2017|2017|2018,z<-1
102,2023|2023|2019|2024|2019|2023|2021|2019|2023|2019,z<-1
103,2017|2019|2020|2016|2016|2025|2023|2017|2025|2017,z<-1
104,2017|2024|2022|2019|2017|2017|2021|2018|2020|2021,z<-1
105,2021|2021|2019|2018|2020|2025|2020|2023|2025|2023,z<-1
106,2016|2025|2016|2016|2020|2024|2016|2023|2025|2025,z<-1
107,2024|2022|2021|2021|2017|2023|2020|2019|2025|2025,z<-1
108,2022|2023|2019|2020|2024|2017|2016|2020|2017|2020,z<-1
109,2018|2020|2025|2018|2017|2017|2024|2018|2023|2021,z<-1
110,2019|2017|2024|2023|2023|2016|2025|2016|2016|2020,z<-1
111,2018|2021|2025|2017|2019|2025|2016|2022|2020|2025,z<-1
112,2017|2025|2024|2022|2022|2016|2024|2017|2023|2018,z<-1
113,2025|2021|2025|2023|2022|2018|2021|2019|2022|2025,z<-1
114,2016|2020|2024|2019|2016|2019|2023|2022|2020|2021,z<-1
115,2019|2018|2020|2024|2021|2025|2024|2019|2019|2019,z<-1
116,2020|2021|2023|2017|2022|2016|2025|2019|2017|2022,z<-1
117,2018|2025|2016|2020|2018|2024|2019|2019|2021|2021,z<-1
118,2019|2021|2017|2016|2020|2025|2024|2017|2020|2024,z<-1
119,2021|2019|2016|2020|2020|2016|2024|2018|2025|2022,z<-1
120,2018|2022|2023|2025|2024|2025|2024|2019|2017|2016,z<-1
121,2023|2021|2017|2018|2019|2024|2017|2016|2016|2017,z<-1
122,2017|2016|2018|2021|2025|2018|2019|2018|2021|2024,z<-1
123,2019|2025|2017|2021|2016|2022|2019|2023|2023|2025,z<-1
124,2025|2025|2021|2017|2016|2018|2016|2024|2017|2022,z<-1
125,2020|2024|2019|2016|2025|2022|2017|2020|2021|2017,z<-1
126,2018|2023|2016|2021|2017|2019|2017|2020|2019|2024,z<-1
127,2023|2018|2022|2025|2016|2025|2017|2022|2021|2018,z<-1
128,2022|2023|2023|2022|2018|2022|2020|2019|2019|2016,z<-1
129,2022|2022|2025|2018|2019|2024|2016|2018|2023|2017,z<-1
130,2023|2021|2016|2019|2018|2022|2021|2025|2021|2018,z<-1
131,2018|2021|2016|2017|2022|2023|2022|2022|2016|2022,z<-1
132,2021|2017|2017|2017|2021|2024|2023|2018|2020|2018,z<-1
133,2020|2020|2023|2019|2020|2019|2016|2018|2020|2017,z<-1
134,2025|2019|2017|2024|2025|2018|2024|2017|2020|2018,z<-1
135,2020|2019|2016|2022|2018|2021|2020|2019|2023|2016,z<-1
136,2020|2024|2023|2025|2016|2016|2017|2023|2020|2025,z<-1
137,2024|2021|2019|2018|2019|2018|2024|2017|2025|2021,z<-1
138,2025|2019|2022|2017|2018|2023|2020|2019|2019|2016,z<-1
139,2020|2018|2016|2021|2018|2018|2022|2020|2019|2021,z<-1
140,2022|2021|2016|2023|2024|2017|2017|2022|2023|2020,z<-1
141,2018|2025|2023|2016|2018|2017|2016|2020|2020|2016,z<-1
142,2024|2023|2023|2023|2020|2025|2018|2019|2024|2022,z<-1
143,2017|2018|2019|2018|2017|2020|2021|2017|2025|2023,z<-1
144,2016|2024|2023|2020|2021|2017|2016|2021|2023|2020,z<-1
145,2021|2019|2023|2018|2021|2021|2025|2018|2024|2016,z<-1
146,2021|2018|2021|2025|2020|2020|2024|2025|2025|2022,z<-1
147,2022|2025|2023|2017|2024|2025|2018|2025|2022|2024,z<-1
148,2024|2018|2022|2017|2021|2020|2021|2023|2017|2020,z<-1
149,2024|2017|2022|2025|2016|2019|2019|2021|2019|2018,z<-1
150,2016|2019|2024|2021|2020|2017|2021|2020|2018|2021,z<-1
151,2025|2019|2024|2021|2023|2024|2019|2025|2017|2019,z<-1
152,2018|2024|2023|2023|2025|2022|2025|2023|2024|2023,z<-1
153,2016|2025|2023|2024|2018|2021|2023|2025|2025|2022,z<-1
154,2017|2022|2017|2022|2023|2023|2018|2020|2020|2023,z<-1
155,2018|2021|2016|2022|2019|2017|2018|2025|2019|2018,z<-1
156,2022|2021|2024|2019|2024|2021|2016|2016|2016|2023,z<-1
157,2024|2023|2022|2024|2019|2023|2016|2020|2023|2020,z<-1
158,2016|2018|2021|2019|2021|2017|2022|2022|2017|2019,z<-1
159,2018|2025|2023|2025|2022|2020|2019|2024|2021|2017,z<-1
160,2022|2017|2017|2019|2017|2021|2019|2019|2018|2019,z<-1
161,2024|2016|2025|2022|2019|2022|2022|2019|2021|2025,z<-1
162,2022|2025|2019|2021|2021|2016|2025|2017|2021|2023,z<-1
163,2016|2024|2020|2021|2019|2020|2017|2020|2018|2022,z<-1
164,2021|2019|2019|2016|2019|2018|2020|2021|2018|2019,z<-1
165,2019|2020|2023|2017|2021|2022|2024|2019|2016|2023,z<-1
166,2024|2025|2018|2017|2025|2024|2021|2018|2019|2017,z<-1
167,2019|2024|2017|2020|2016|2019|2017|2018|2022|2017,z<-1
168,2024|2018|2018|2016|2019|2020|2017|2021|2024|2021,z<-1
169,2023|2022|2019|2020|2025|2020|2022|2019|2016|2023,z<-1
170,2023|2025|2024|2022|2018|2017|2016|2017|2016|2025,z<-1
171,2021|2025|2017|2021|2019|2020|2023|2021|2023|2020,z<-1
172,2021|2019|2016|2019|2021|2021|2024|2025|2021|2017,z<-1
173,2024|2024|2020|2019|2023|2025|2024|2018|2017|2017,z<-1
174,2019|2023|2025|2025|2018|2021|2023|2021|2018|2020,z<-1
175,2021|2017|2019|2023|2017|2016|2022|2020|2021|2019,z<-1
176,2019|2020|2024|2016|2016|2023|2021|2016|2020|2017,z<-1
177,2021|2017|2016|2023|2021|2016|2021|2016|2020|2019,z<-1
178,2016|2024|2019|2017|2017|2022|2021|2025|2018|2024,z<-1
179,2016|2021|2018|2017|2022|2021|2019|2020|2019|2019,z<-1
180,2018|2021|2016|2017|2018|2025|2023|2025|2017|2019,z<-1
181,2017|2017|2022|2019|2021|2021|2016|2019|2020|2024,z<-1
182,2019|2022|2017|2017|2018|2019|2024|2023|2025|2016,z<-1
183,2023|2018|2018|2021|2024|2024|2017|2019|2022|2021,z<-1
184,2024|2020|2016|2022|2017|2023|2020|2019|2023|2019,z<-1
185,2018|2025|2018|2021|2022|2021|2021|2023|2021|2025,z<-1
186,2019|2019|2022|2018|2024|2021|2024|2022|2025|2019,z<-1
187,2019|2017|2019|2022|2018|2025|2019|2022|2018|2024,z<-1
188,2022|2023|2021|2016|2016|2018|2021|2019|2025|2025,z<-1
189,2017|2025|2024|2021|2017|2024|2016|2018|2022|2025,z<-1
190,2016|2024|2016|2020|2023|2016|2024|2022|2017|2021,z<-1
191,2020|2020|2022|2019|2023|2016|2021|2017|2017|2019,z<-1
192,2019|2021|2016|2023|2020|2018|2020|2016|2020|2024,z<-1
193,2019|2025|2022|2021|2020|2021|2018|2023|2017|2022,z<-1
194,2016|2019|2020|2021|2018|2020|2025|2025|2021|2024,z<-1
195,2017|2020|2019|2023|2025|2025|2017|2019|2024|2020,z<-1
196,2021|2023|2019|2017|2022|2022|2019|2016|2020|2025,z<-1
197,2019|2019|2018|2018|2024|2023|2024|2025|2018|2022,z<-1
198,2017|2019|2024|2024|2019|2023|2016|2020|2022|2016,z<-1
199,2019|2020|2023|2023|2019|2021|2017|2016|2022|2018,z<-1
200,2024|2019|2020|2018|2022|2019|2022|2017|2019|2022,z<-1
201,2025|2017|2019|2017|2019|2017|2020|2025|2025|2023,z<-1
202,2018|2025|2017|2016|2022|2025|2022|2020|2024|2025,z<-1
203,2016|2016|2024|2022|2018|2017|2020|2020|2017|2023,z<-1
204,2017|2020|2024|2023|2017|2022|2023|2021|2019|2019,z<-1
205,2020|2019|2017|2020|2025|2020|2025|2017|2018|2017,z<-1
206,2021|2016|2017|2020|2023|2020|2025|2023|2020|2025,z<-1
207,2020|2025|2025|2017|2025|2019|2022|2025|2016|2025,z<-1
208,2017|2020|2024|2017|2016|2024|2017|2024|2024|2025,z<-1
209,2025|2017|2025|2022|2018|2024|2025|2017|2019|2020,z<-1
210,2017|2016|2023|2021|2024|2017|2025|2024|2019|2017,z<-1
211,2025|2024|2022|2018|2023|2022|2020|2023|2021|2023,z<-1
212,2024|2021|2017|2024|2025|2018|2025|2025|2023|2025,z<-1
213,2024|2024|2020|2025|2017|2018|2025|2022|2020|2018,z<-1
214,2021|2019|2024|2019|2024|2017|2016|2016|2022|2019,z<-1
215,2023|2016|2019|2025|2020|2020|2024|2019|2022|2024,z<-1
216,2019|2018|2016|2020|2020|2020|2018|2021|2025|2025,z<-1
217,2023|2022|2024|2024|2021|2020|2018|2019|2016|2023,z<-1
218,2017|2017|2020|2019|2022|2016|2018|2017|2022|2024,z<-1
219,2019|2017|2018|2025|2020|2023|2023|2018|2023|2021,z<-1
220,2021|2021|2024|2017|2024|2020|2017|2018|2023|2021,z<-1
221,2023|2017|2024|2024|2018|2016|2016|2024|2020|2017,z<-1
222,2022|2018|2023|2020|2023|2018|2020|2023|2025|2022,z<-1
223,2016|2016|2019|2019|2017|2025|2025|2018|2018|2018,z<-1
224,2018|2018|2025|2021|2019|2017|2019|2020|2023|2021,z<-1
225,2020|2019|2019|2021|2023|2021|2025|2017|2025|2017,z<-1
226,2022|2021|2025|2024|2022|2019|2019|2018|2016|2025,z<-1
227,2019|2020|2016|2018|2022|2020|2023|2020|2016|2022,z<-1
228,2022|2021|2024|2020|2023|2022|2021|2016|2025|2021,z<-1
229,2023|2024|2020|2023|2024|2018|2019|2024|2019|2018,z<-1
230,2025|2023|2021|2021|2016|2025|2021|2020|2019|2018,z<-1
231,2019|2024|2019|2016|2023|2018|2022|2024|2020|2018,z<-1
232,2023|2023|2017|2025|2023|2021|2025|2020|2022|2024,z<-1
233,2019|2018|2019|2020|2024|2025|2018|2021|2017|2018,z<-1
234,2020|2025|2019|2021|2024|2016|2019|2022|2022|2016,z<-1
235,2021|2017|2022|2018|2017|2019|2018|2018|2023|2025,z<-1
236,2020|2023|2018|2017|2022|2016|2017|2021|2017|2024,z<-1
237,2021|2019|2022|2024|2022|2021|2020|2021|2019|2020,z<-1
238,2017|2022|2024|2022|2017|2024|2021|2019|2023|2020,z<-1
239,2024|2020|2020|2020|2019|2019|2025|2023|2017|2019,z<-1
240,2021|2024|2024|2021|2017|2024|2024|2024|2025|2022,z<-1
241,2018|2023|2025|2016|2016|2016|2021|2017|2017|2025,z<-1
242,2024|2020|2021|2020|2018|2018|2025|2022|2017|2019,z<-1
243,2018|2022|2020|2019|2021|2017|2016|2021|2018|2018,z<-1
244,2018|2021|2019|2017|2023|2019|2025|2022|2025|2020,z<-1
245,2023|2023|2021|2016|2025|2021|2018|2021|2019|2022,z<-1
246,2019|2017|2023|2018|2020|2018|2023|2023|2017|2017,z<-1
247,2020|2018|2025|2017|2023|2022|2018|2019|2020|2024,z<-1
248,2025|2023|2018|2024|2022|2023|2023|2025|2020|2023,z<-1
249,2016|2022|2019|2023|2025|2019|2016|2025|2021|2020,z<-1
250,2025|2016|2024|2019|2017|2016|2016|2019|2020|2020,z<-1
251,2020|2023|2020|2018|2025|2024|2018|2023|2017|2021,z<-1
252,2017|2017|2023|2025|2024|2023|2021|2023|2023|2022,z<-1
253,2022|2024|2025|2021|2019|2022|2021|2021|2016|2021,z<-1
254,2016|2019|2023|2016|2020|2023|2016|2022|2017|2018,z<-1
255,2024|2017|2016|2016|2022|2024|2019|2020|2022|2021,z<-1
256,2021|2022|2017|2025|2018|2024|2016|2017|2025|2025,z<-1
257,2016|2023|2020|2025|2021|2025|2020|2016|2017|2021,z<-1
258,2025|2020|2016|2020|2023|2021|2025|2021|2025|2024,z<-1
259,2018|2018|2017|2020|2023|2020|2017|2017|2024|2022,z<-1
260,2020|2025|2016|2019|2020|2021|2025|2020|2024|2019,z<-1
261,2025|2018|2019|2019|2024|2024|2024|2024|2019|2020,z<-1
262,2016|2017|2018|2022|2025|2025|2022|2020|2023|2016,z<-1
263,2016|2024|2019|2024|2017|2021|2018|2016|2020|2025,z<-1
264,2023|2019|2024|2025|2020|2025|2022|2018|2019|2022,z<-1
265,2017|2025|2019|2019|2018|2019|2022|2020|2021|2018,z<-1
266,2019|2017|2023|2018|2019|2020|2024|2022|2021|2021,z<-1
267,2017|2020|2025|2024|2017|2016|2017|2016|2016|2022,z<-1
268,2017|2025|2016|2017|2017|2020|2018|2025|2018|2018,z<-1
269,2024|2025|2018|2022|2022|2016|2021|2024|2022|2025,z<-1
270,2018|2017|2020|2019|2019|2025|2025|2025|2020|2024,z<-1
271,2017|2024|2021|2020|2025|2020|2025|2023|2023|2022,z<-1
272,2020|2024|2018|2023|2016|2017|2024|2020|2025|2021,z<-1
273,2025|2016|2020|2022|2025|2020|2019|2018|2023|2017,z<-1
274,2019|2021|2023|2017|2023|2020|2023|2016|2018|2019,z<-1
275,2024|2020|2021|2023|2018|2023|2016|2024|2021|2024,z<-1
276,2020|2022|2019|2023|2023|2021|2024|2021|2019|2023,z<-1
277,2017|2025|2018|2020|2025|2022|2017|2024|2016|2017,z<-1
278,2020|2022|2022|2023|2018|2024|2024|2023|2021|2021,z<-1
279,2020|2019|2016|2024|2020|2019|2018|2024|2021|2020,z<-1
280,2017|2020|2025|2017|2021|2023|2017|2022|2024|2017,z<-1
281,2022|2018|2021|2022|2020|2025|2018|2021|2024|2025,z<-1
282,2023|2025|2021|2023|2023|2019|2024|2016|2023|2024,z<-1
283,2018|2022|2017|2022|2017|2019|2020|2018|2018|2021,z<-1
284,2021|2018|2025|2021|2016|2018|2020|2021|2017|2022,z<-1
285,2020|2023|2023|2022|2018|2022|2020|2024|2020|2016,z<-1
286,2019|2024|2021|2025|2023|2022|2017|2022|2025|2016,z<-1
287,2022|2024|2025|2018|2019|2022|2021|2022|2025|2021,z<-1
288,2024|2020|2022|2016|2017|2024|2020|2020|2020|2021,z<-1
289,2025|2016|2022|2016|2019|2018|2017|2023|2017|2019,z<-1
290,2020|2023|2020|2017|2023|2024|2017|2022|2022|2020,z<-1
291,2024|2021|2018|2018|2025|2017|2022|2019|2016|2018,z<-1
292,2017|2025|2020|2017|2018|2024|2022|2023|2016|2024,z<-1
293,2016|2019|2023|2020|2018|2017|2025|2022|2025|2020,z<-1
294,2017|2023|2023|2016|2025|2022|2023|2021|2020|2021,z<-1
295,2019|2024|2020|2021|2021|2022|2021|2021|2024|2022,z<-1
296,2024|2022|2022|2021|2018|2021|2024|2021|2025|2020,z<-1
297,2017|2021|2022|2018|2021|2019|2024|2025|2017|2018,z<-1
298,2018|2020|2022|2018|2019|2021|2019|2017|2017|2017,z<-1
299,2025|2024|2016|2023|2024|2025|2018|2016|2025|2020,z<-1
300,2017|2025|2017|2019|2021|2017|2024|2023|2025|2022,z<-1
301,2020|2022|2021|2016|2021|2022|2025|2023|2025|2023,z<-1
302,2020|2017|2022|2023|2021|2018|2025|2019|2023|2017,z<-1
303,2021|2021|2020|2025|2020|2016|2024|2020|2025|2018,z<-1
304,2023|2023|2022|2020|2022|2019|2022|2021|2018|2017,z<-1
305,2017|2019|2020|2019|2017|2020|2024|2018|2017|2018,z<-1
306,2020|2019|2024|2025|2025|2016|2023|2019|2020|2016,z<-1
307,2024|2019|2023|2018|2019|2021|2017|2019|2019|2024,z<-1
308,2020|2018|2021|2022|2022|2022|2019|2016|2017|2024,z<-1
309,2020|2019|2024|2017|2018|2020|2021|2025|2017|2020,z<-1
310,2016|2024|2017|2016|2018|2025|2019|2018|2017|2023,z<-1
311,2022|2023|2017|2021|2022|2024|2024|2024|2025|2019,z<-1
312,2023|2022|2020|2021|2019|2019|2022|2025|2023|2018,z<-1
313,2017|2021|2021|2019|2021|2024|2019|2020|2020|2022,z<-1
314,2022|2017|2016|2020|2017|2018|2023|2019|2021|2020,z<-1
315,2025|2017|2019|2023|2020|2017|2020|2019|2017|2018,z<-1
316,2020|2017|2019|2025|2021|2017|2020|2025|2020|2018,z<-1
317,2022|2016|2019|2025|2023|2021|2018|2023|2018|2016,z<-1
318,2019|2021|2024|2025|2025|2025|2020|2020|2023|2023,z<-1
319,2021|2024|2020|2021|2019|2017|2018|2016|2017|2025,z<-1
320,2020|2021|2021|2016|2020|2017|2025|2022|2025|2024,z<-1
321,2018|2016|2017|2019|2025|2018|2021|2021|2024|2020,z<-1
322,2018|2021|2018|2022|2025|2018|2017|2024|2023|2019,z<-1
323,2025|2019|2017|2021|2019|2021|2024|2022|2021|2020,z<-1
324,2025|2022|2023|2020|2022|2019|2023|2020|2024|2017,z<-1
325,2019|2016|2025|2020|2024|2021|2021|2021|2025|2016,z<-1
326,2025|2022|2022|2016|2024|2016|2020|2020|2018|2019,z<-1
327,2022|2019|2016|2025|2020|2017|2020|2019|2017|2022,z<-1
328,2017|2023|2017|2017|2016|2018|2025|2016|2021|2016,z<-1
329,2017|2025|2021|2022|2018|2018|2023|2016|2023|2021,z<-1
330,2019|2024|2019|2021|2024|2018|2023|2016|2021|2022,z<-1
331,2024|2017|2018|2018|2020|2023|2022|2021|2020|2021,z<-1
332,2023|2021|2024|2017|2025|2016|2024|2020|2020|2025,z<-1
333,2025|2023|2018|2020|2019|2022|2020|2025|2017|2025,z<-1
334,2022|2025|2024|2021|2022|2022|2021|2022|2016|2021,z<-1
335,2016|2023|2016|2017|2022|2019|2021|2020|2020|2021,z<-1
336,2022|2016|2017|2023|2019|2025|2025|2019|2022|2016,z<-1
337,2024|2022|2021|2025|2021|2024|2017|2023|2022|2019,z<-1
338,2018|2020|2023|2024|2023|2019|2025|2018|2016|2022,z<-1
339,2020|2023|2016|2016|2025|2023|2018|2020|2024|2024,z<-1
340,2024|2024|2022|2023|2020|2019|2016|2020|2020|2021,z<-1
341,2017|2024|2024|2016|2022|2018|2018|2017|2018|2025,z<-1
342,2022|2020|2022|2024|2020|2023|2022|2024|2019|2020,z<-1
343,2018|2016|2017|2024|2018|2016|2016|2019|2024|2018,z<-1
344,2023|2024|2024|2023|2025|2023|2024|2018|2021|2019,z<-1
345,2017|2018|2020|2025|2021|2023|2023|2020|2020|2024,z<-1
346,2024|2023|2016|2022|2021|2017|2022|2025|2023|2025,z<-1
347,2016|2018|2016|2024|2017|2025|2022|2023|2021|2021,z<-1
348,2025|2016|2019|2019|2025|2020|2025|2017|2017|2021,z<-1
349,2017|2019|2017|2024|2017|2017|2021|2016|2017|2022,z<-1
350,2023|2024|2023|2023|2016|2021|2023|2023|2025|2025,z<-1
351,2018|2025|2019|2025|2020|2025|2021|2017|2023|2023,z<-1
352,2017|2020|2023|2023|2025|2025|2016|2019|2017|2022,z<-1
353,2018|2017|2018|2016|2023|2018|2020|2025|2025|2019,z<-1
354,2020|2019|2017|2018|2025|2022|2025|2018|2021|2024,z<-1
355,2023|2020|2016|2024|2020|2016|2016|2017|2023|2025,z<-1
356,2020|2025|2025|2025|2016|2022|2021|2018|2017|2018,z<-1
357,2025|2024|2016|2019|2025|2024|2017|2020|2017|2020,z<-1
358,2019|2025|2018|2023|2024|2017|2016|2019|2018|2021,z<-1
359,2016|2020|2022|2024|2020|2016|2021|2017|2016|2024,z<-1
360,2025|2018|2017|2019|2025|2020|2021|2022|2022|2024,z<-1
361,2023|2020|2018|2016|2018|2022|2017|2025|2017|2018,z<-1
362,2016|2025|2021|2023|2025|2018|2023|2025|2020|2021,z<-1
363,2021|2022|2025|2016|2020|2019|2017|2017|2016|2019,z<-1
364,2023|2022|2016|2023|2023|2024|2025|2019|2024|2017,z<-1
365,2019|2022|2020|2025|2021|2022|2022|2017|2022|2019,z<-1
366,2019|2025|2020|2025|2018|2019|2025|2016|2016|2022,z<-1
367,2018|2023|2025|2018|2022|2024|2024|2023|2017|2017,z<-1
368,2017|2019|2020|2021|2017|2024|2019|2019|2020|2023,z<-1
369,2017|2023|2016|2018|2022|2025|2020|2018|2016|2017,z<-1
370,2017|2020|2016|2020|2016|2023|2020|2021|2020|2024,z<-1
371,2024|2023|2017|2021|2017|2021|2019|2023|2020|2018,z<-1
372,2022|2024|2018|2019|2022|2017|2024|2019|2020|2020,z<-1
373,2017|2019|2017|2025|2023|2022|2021|2023|2024|2023,z<-1
374,2018|2024|2016|2017|2022|2022|2020|2021|2023|2016,z<-1
375,2017|2016|2023|2023|2024|2024|2023|2022|2017|2017,z<-1
376,2021|2021|2021|2021|2016|2025|2017|2022|2018|2020,z<-1
