replicate,sampled_years
150,2016|2019|2024|2021|2020|2017|2021|2020|2018|2021
151,2025|2019|2024|2021|2023|2024|2019|2025|2017|2019
152,2018|2024|2023|2023|2025|2022|2025|2023|2024|2023
153,2016|2025|2023|2024|2018|2021|2023|2025|2025|2022
154,2017|2022|2017|2022|2023|2023|2018|2020|2020|2023
155,2018|2021|2016|2022|2019|2017|2018|2025|2019|2018
156,2022|2021|2024|2019|2024|2021|2016|2016|2016|2023
157,2024|2023|2022|2024|2019|2023|2016|2020|2023|2020
158,2016|2018|2021|2019|2021|2017|2022|2022|2017|2019
159,2018|2025|2023|2025|2022|2020|2019|2024|2021|2017
160,2022|2017|2017|2019|2017|2021|2019|2019|2018|2019
161,2024|2016|2025|2022|2019|2022|2022|2019|2021|2025
162,2022|2025|2019|2021|2021|2016|2025|2017|2021|2023
163,2016|2024|2020|2021|2019|2020|2017|2020|2018|2022
164,2021|2019|2019|2016|2019|2018|2020|2021|2018|2019
165,2019|2020|2023|2017|2021|2022|2024|2019|2016|2023
166,2024|2025|2018|2017|2025|2024|2021|2018|2019|2017
167,2019|2024|2017|2020|2016|2019|2017|2018|2022|2017
168,2024|2018|2018|2016|2019|2020|2017|2021|2024|2021
169,2023|2022|2019|2020|2025|2020|2022|2019|2016|2023
170,2023|2025|2024|2022|2018|2017|2016|2017|2016|2025
171,2021|2025|2017|2021|2019|2020|2023|2021|2023|2020
172,2021|2019|2016|2019|2021|2021|2024|2025|2021|2017
173,2024|2024|2020|2019|2023|2025|2024|2018|2017|2017
174,2019|2023|2025|2025|2018|2021|2023|2021|2018|2020
175,2021|2017|2019|2023|2017|2016|2022|2020|2021|2019
176,2019|2020|2024|2016|2016|2023|2021|2016|2020|2017
177,2021|2017|2016|2023|2021|2016|2021|2016|2020|2019
178,2016|2024|2019|2017|2017|2022|2021|2025|2018|2024
179,2016|2021|2018|2017|2022|2021|2019|2020|2019|2019
180,2018|2021|2016|2017|2018|2025|2023|2025|2017|2019
181,2017|2017|2022|2019|2021|2021|2016|2019|2020|2024
182,2019|2022|2017|2017|2018|2019|2024|2023|2025|2016
183,2023|2018|2018|2021|2024|2024|2017|2019|2022|2021
184,2024|2020|2016|2022|2017|2023|2020|2019|2023|2019
185,2018|2025|2018|2021|2022|2021|2021|2023|2021|2025
186,2019|2019|2022|2018|2024|2021|2024|2022|2025|2019
187,2019|2017|2019|2022|2018|2025|2019|2022|2018|2024
188,2022|2023|2021|2016|2016|2018|2021|2019|2025|2025
189,2017|2025|2024|2021|2017|2024|2016|2018|2022|2025
190,2016|2024|2016|2020|2023|2016|2024|2022|2017|2021
191,2020|2020|2022|2019|2023|2016|2021|2017|2017|2019
192,2019|2021|2016|2023|2020|2018|2020|2016|2020|2024
193,2019|2025|2022|2021|2020|2021|2018|2023|2017|2022
194,2016|2019|2020|2021|2018|2020|2025|2025|2021|2024
195,2017|2020|2019|2023|2025|2025|2017|2019|2024|2020
196,2021|2023|2019|2017|2022|2022|2019|2016|2020|2025
197,2019|2019|2018|2018|2024|2023|2024|2025|2018|2022
198,2017|2019|2024|2024|2019|2023|2016|2020|2022|2016
199,2019|2020|2023|2023|2019|2021|2017|2016|2022|2018
200,2024|2019|2020|2018|2022|2019|2022|2017|2019|2022
201,2025|2017|2019|2017|2019|2017|2020|2025|2025|2023
202,2018|2025|2017|2016|2022|2025|2022|2020|2024|2025
203,2016|2016|2024|2022|2018|2017|2020|2020|2017|2023
204,2017|2020|2024|2023|2017|2022|2023|2021|2019|2019
205,2020|2019|2017|2020|2025|2020|2025|2017|2018|2017
206,2021|2016|2017|2020|2023|2020|2025|2023|2020|2025
207,2020|2025|2025|2017|2025|2019|2022|2025|2016|2025
208,2017|2020|2024|2017|2016|2024|2017|2024|2024|2025
209,2025|2017|2025|2022|2018|2024|2025|2017|2019|2020
210,2017|2016|2023|2021|2024|2017|2025|2024|2019|2017
211,2025|2024|2022|2018|2023|2022|2020|2023|2021|2023
212,2024|2021|2017|2024|2025|2018|2025|2025|2023|2025
213,2024|2024|2020|2025|2017|2018|2025|2022|2020|2018
214,2021|2019|2024|2019|2024|2017|2016|2016|2022|2019
215,2023|2016|2019|2025|2020|2020|2024|2019|2022|2024
216,2019|2018|2016|2020|2020|2020|2018|2021|2025|2025
217,2023|2022|2024|2024|2021|2020|2018|2019|2016|2023
218,2017|2017|2020|2019|2022|2016|2018|2017|2022|2024
219,2019|2017|2018|2025|2020|2023|2023|2018|2023|2021
220,2021|2021|2024|2017|2024|2020|2017|2018|2023|2021
221,2023|2017|2024|2024|2018|2016|2016|2024|2020|2017
222,2022|2018|2023|2020|2023|2018|2020|2023|2025|2022
223,2016|2016|2019|2019|2017|2025|2025|2018|2018|2018
224,2018|2018|2025|2021|2019|2017|2019|2020|2023|2021
225,2020|2019|2019|2021|2023|2021|2025|2017|2025|2017
226,2022|2021|2025|2024|2022|2019|2019|2018|2016|2025
227,2019|2020|2016|2018|2022|2020|2023|2020|2016|2022
228,2022|2021|2024|2020|2023|2022|2021|2016|2025|2021
229,2023|2024|2020|2023|2024|2018|2019|2024|2019|2018
230,2025|2023|2021|2021|2016|2025|2021|2020|2019|2018
231,2019|2024|2019|2016|2023|2018|2022|2024|2020|2018
232,2023|2023|2017|2025|2023|2021|2025|2020|2022|2024
233,2019|2018|2019|2020|2024|2025|2018|2021|2017|2018
234,2020|2025|2019|2021|2024|2016|2019|2022|2022|2016
235,2021|2017|2022|2018|2017|2019|2018|2018|2023|2025
236,2020|2023|2018|2017|2022|2016|2017|2021|2017|2024
237,2021|2019|2022|2024|2022|2021|2020|2021|2019|2020
238,2017|2022|2024|2022|2017|2024|2021|2019|2023|2020
239,2024|2020|2020|2020|2019|2019|2025|2023|2017|2019
240,2021|2024|2024|2021|2017|2024|2024|2024|2025|2022
241,2018|2023|2025|2016|2016|2016|2021|2017|2017|2025
242,2024|2020|2021|2020|2018|2018|2025|2022|2017|2019
243,2018|2022|2020|2019|2021|2017|2016|2021|2018|2018
244,2018|2021|2019|2017|2023|2019|2025|2022|2025|2020
245,2023|2023|2021|2016|2025|2021|2018|2021|2019|2022
246,2019|2017|2023|2018|2020|2018|2023|2023|2017|2017
247,2020|2018|2025|2017|2023|2022|2018|2019|2020|2024
248,2025|2023|2018|2024|2022|2023|2023|2025|2020|2023
249,2016|2022|2019|2023|2025|2019|2016|2025|2021|2020
250,2025|2016|2024|2019|2017|2016|2016|2019|2020|2020
251,2020|2023|2020|2018|2025|2024|2018|2023|2017|2021
252,2017|2017|2023|2025|2024|2023|2021|2023|2023|2022
253,2022|2024|2025|2021|2019|2022|2021|2021|2016|2021
254,2016|2019|2023|2016|2020|2023|2016|2022|2017|2018
255,2024|2017|2016|2016|2022|2024|2019|2020|2022|2021
256,2021|2022|2017|2025|2018|2024|2016|2017|2025|2025
257,2016|2023|2020|2025|2021|2025|2020|2016|2017|2021
258,2025|2020|2016|2020|2023|2021|2025|2021|2025|2024
259,2018|2018|2017|2020|2023|2020|2017|2017|2024|2022
260,2020|2025|2016|2019|2020|2021|2025|2020|2024|2019
261,2025|2018|2019|2019|2024|2024|2024|2024|2019|2020
262,2016|2017|2018|2022|2025|2025|2022|2020|2023|2016
263,2016|2024|2019|2024|2017|2021|2018|2016|2020|2025
264,2023|2019|2024|2025|2020|2025|2022|2018|2019|2022
265,2017|2025|2019|2019|2018|2019|2022|2020|2021|2018
266,2019|2017|2023|2018|2019|2020|2024|2022|2021|2021
267,2017|2020|2025|2024|2017|2016|2017|2016|2016|2022
268,2017|2025|2016|2017|2017|2020|2018|2025|2018|2018
269,2024|2025|2018|2022|2022|2016|2021|2024|2022|2025
270,2018|2017|2020|2019|2019|2025|2025|2025|2020|2024
271,2017|2024|2021|2020|2025|2020|2025|2023|2023|2022
272,2020|2024|2018|2023|2016|2017|2024|2020|2025|2021
273,2025|2016|2020|2022|2025|2020|2019|2018|2023|2017
274,2019|2021|2023|2017|2023|2020|2023|2016|2018|2019
275,2024|2020|2021|2023|2018|2023|2016|2024|2021|2024
276,2020|2022|2019|2023|2023|2021|2024|2021|2019|2023
277,2017|2025|2018|2020|2025|2022|2017|2024|2016|2017
278,2020|2022|2022|2023|2018|2024|2024|2023|2021|2021
279,2020|2019|2016|2024|2020|2019|2018|2024|2021|2020
280,2017|2020|2025|2017|2021|2023|2017|2022|2024|2017
281,2022|2018|2021|2022|2020|2025|2018|2021|2024|2025
282,2023|2025|2021|2023|2023|2019|2024|2016|2023|2024
283,2018|2022|2017|2022|2017|2019|2020|2018|2018|2021
284,2021|2018|2025|2021|2016|2018|2020|2021|2017|2022
285,2020|2023|2023|2022|2018|2022|2020|2024|2020|2016
286,2019|2024|2021|2025|2023|2022|2017|2022|2025|2016
287,2022|2024|2025|2018|2019|2022|2021|2022|2025|2021
288,2024|2020|2022|2016|2017|2024|2020|2020|2020|2021
289,2025|2016|2022|2016|2019|2018|2017|2023|2017|2019
290,2020|2023|2020|2017|2023|2024|2017|2022|2022|2020
291,2024|2021|2018|2018|2025|2017|2022|2019|2016|2018
292,2017|2025|2020|2017|2018|2024|2022|2023|2016|2024
293,2016|2019|2023|2020|2018|2017|2025|2022|2025|2020
294,2017|2023|2023|2016|2025|2022|2023|2021|2020|2021
295,2019|2024|2020|2021|2021|2022|2021|2021|2024|2022
296,2024|2022|2022|2021|2018|2021|2024|2021|2025|2020
297,2017|2021|2022|2018|2021|2019|2024|2025|2017|2018
298,2018|2020|2022|2018|2019|2021|2019|2017|2017|2017
299,2025|2024|2016|2023|2024|2025|2018|2016|2025|2020
300,2017|2025|2017|2019|2021|2017|2024|2023|2025|2022
301,2020|2022|2021|2016|2021|2022|2025|2023|2025|2023
302,2020|2017|2022|2023|2021|2018|2025|2019|2023|2017
303,2021|2021|2020|2025|2020|2016|2024|2020|2025|2018
304,2023|2023|2022|2020|2022|2019|2022|2021|2018|2017
305,2017|2019|2020|2019|2017|2020|2024|2018|2017|2018
306,2020|2019|2024|2025|2025|2016|2023|2019|2020|2016
307,2024|2019|2023|2018|2019|2021|2017|2019|2019|2024
308,2020|2018|2021|2022|2022|2022|2019|2016|2017|2024
309,2020|2019|2024|2017|2018|2020|2021|2025|2017|2020
310,2016|2024|2017|2016|2018|2025|2019|2018|2017|2023
311,2022|2023|2017|2021|2022|2024|2024|2024|2025|2019
312,2023|2022|2020|2021|2019|2019|2022|2025|2023|2018
313,2017|2021|2021|2019|2021|2024|2019|2020|2020|2022
314,2022|2017|2016|2020|2017|2018|2023|2019|2021|2020
315,2025|2017|2019|2023|2020|2017|2020|2019|2017|2018
316,2020|2017|2019|2025|2021|2017|2020|2025|2020|2018
317,2022|2016|2019|2025|2023|2021|2018|2023|2018|2016
318,2019|2021|2024|2025|2025|2025|2020|2020|2023|2023
319,2021|2024|2020|2021|2019|2017|2018|2016|2017|2025
320,2020|2021|2021|2016|2020|2017|2025|2022|2025|2024
321,2018|2016|2017|2019|2025|2018|2021|2021|2024|2020
322,2018|2021|2018|2022|2025|2018|2017|2024|2023|2019
323,2025|2019|2017|2021|2019|2021|2024|2022|2021|2020
324,2025|2022|2023|2020|2022|2019|2023|2020|2024|2017
325,2019|2016|2025|2020|2024|2021|2021|2021|2025|2016
326,2025|2022|2022|2016|2024|2016|2020|2020|2018|2019
327,2022|2019|2016|2025|2020|2017|2020|2019|2017|2022
328,2017|2023|2017|2017|2016|2018|2025|2016|2021|2016
329,2017|2025|2021|2022|2018|2018|2023|2016|2023|2021
330,2019|2024|2019|2021|2024|2018|2023|2016|2021|2022
331,2024|2017|2018|2018|2020|2023|2022|2021|2020|2021
332,2023|2021|2024|2017|2025|2016|2024|2020|2020|2025
333,2025|2023|2018|2020|2019|2022|2020|2025|2017|2025
334,2022|2025|2024|2021|2022|2022|2021|2022|2016|2021
335,2016|2023|2016|2017|2022|2019|2021|2020|2020|2021
336,2022|2016|2017|2023|2019|2025|2025|2019|2022|2016
337,2024|2022|2021|2025|2021|2024|2017|2023|2022|2019
338,2018|2020|2023|2024|2023|2019|2025|2018|2016|2022
339,2020|2023|2016|2016|2025|2023|2018|2020|2024|2024
340,2024|2024|2022|2023|2020|2019|2016|2020|2020|2021
341,2017|2024|2024|2016|2022|2018|2018|2017|2018|2025
342,2022|2020|2022|2024|2020|2023|2022|2024|2019|2020
343,2018|2016|2017|2024|2018|2016|2016|2019|2024|2018
344,2023|2024|2024|2023|2025|2023|2024|2018|2021|2019
345,2017|2018|2020|2025|2021|2023|2023|2020|2020|2024
346,2024|2023|2016|2022|2021|2017|2022|2025|2023|2025
347,2016|2018|2016|2024|2017|2025|2022|2023|2021|2021
348,2025|2016|2019|2019|2025|2020|2025|2017|2017|2021
349,2017|2019|2017|2024|2017|2017|2021|2016|2017|2022
350,2023|2024|2023|2023|2016|2021|2023|2023|2025|2025
351,2018|2025|2019|2025|2020|2025|2021|2017|2023|2023
352,2017|2020|2023|2023|2025|2025|2016|2019|2017|2022
353,2018|2017|2018|2016|2023|2018|2020|2025|2025|2019
354,2020|2019|2017|2018|2025|2022|2025|2018|2021|2024
355,2023|2020|2016|2024|2020|2016|2016|2017|2023|2025
356,2020|2025|2025|2025|2016|2022|2021|2018|2017|2018
357,2025|2024|2016|2019|2025|2024|2017|2020|2017|2020
358,2019|2025|2018|2023|2024|2017|2016|2019|2018|2021
359,2016|2020|2022|2024|2020|2016|2021|2017|2016|2024
360,2025|2018|2017|2019|2025|2020|2021|2022|2022|2024
361,2023|2020|2018|2016|2018|2022|2017|2025|2017|2018
362,2016|2025|2021|2023|2025|2018|2023|2025|2020|2021
363,2021|2022|2025|2016|2020|2019|2017|2017|2016|2019
364,2023|2022|2016|2023|2023|2024|2025|2019|2024|2017
365,2019|2022|2020|2025|2021|2022|2022|2017|2022|2019
366,2019|2025|2020|2025|2018|2019|2025|2016|2016|2022
367,2018|2023|2025|2018|2022|2024|2024|2023|2017|2017
368,2017|2019|2020|2021|2017|2024|2019|2019|2020|2023
369,2017|2023|2016|2018|2022|2025|2020|2018|2016|2017
370,2017|2020|2016|2020|2016|2023|2020|2021|2020|2024
371,2024|2023|2017|2021|2017|2021|2019|2023|2020|2018
372,2022|2024|2018|2019|2022|2017|2024|2019|2020|2020
373,2017|2019|2017|2025|2023|2022|2021|2023|2024|2023
374,2018|2024|2016|2017|2022|2022|2020|2021|2023|2016
375,2017|2016|2023|2023|2024|2024|2023|2022|2017|2017
376,2021|2021|2021|2021|2016|2025|2017|2022|2018|2020
377,2023|2024|2020|2017|2022|2017|2016|2023|2023|2024
378,2017|2018|2021|2021|2022|2018|2025|2022|2025|2021
379,2020|2016|2023|2024|2020|2019|2018|2021|2022|2024
380,2023|2024|2025|2025|2017|2022|2024|2019|2016|2018
381,2019|2019|2016|2017|2024|2022|2025|2020|2021|2020
382,2020|2025|2023|2020|2023|2024|2023|2025|2020|2023
383,2021|2017|2019|2020|2025|2016|2025|2022|2020|2020
384,2021|2021|2025|2023|2020|2025|2025|2019|2024|2025
385,2019|2023|2025|2024|2017|2022|2017|2024|2024|2018
386,2025|2018|2017|2024|2022|2019|2020|2019|2017|2023
387,2018|2016|2017|2021|2025|2020|2022|2025|2022|2021
388,2023|2024|2018|2024|2017|2018|2020|2022|2023|2017
389,2018|2025|2022|2024|2021|2025|2018|2020|2018|2020
390,2019|2021|2016|2016|2017|2022|2017|2018|2019|2017
391,2024|2020|2017|2025|2018|2021|2021|2018|2024|2020
392,2021|2024|2017|2023|2023|2025|2022|2024|2021|2024
393,2018|2020|2024|2021|2022|2025|2021|2019|2025|2025
394,2020|2025|2019|2017|2023|2017|2024|2016|2022|2022
395,2019|2020|2022|2023|2016|2016|2020|2016|2020|2017
396,2018|2019|2023|2023|2016|2019|2021|2022|2025|2018
397,2023|2016|2023|2023|2020|2024|2018|2021|2020|2018
398,2021|2016|2017|2022|2025|2019|2018|2017|2022|2022
399,2019|2023|2018|2021|2019|2024|2017|2025|2022|2020
400,2024|2023|2018|2017|2025|2019|2023|2016|2021|2023
401,2016|2017|2021|2020|2022|2022|2019|2018|2024|2023
402,2023|2023|2017|2022|2018|2019|2019|2023|2017|2018
403,2016|2020|2018|2024|2025|2017|2021|2022|2017|2021
404,2016|2016|2016|2021|2016|2019|2017|2017|2025|2021
405,2021|2024|2023|2017|2024|2023|2022|2024|2017|2025
406,2019|2016|2019|2022|2017|2019|2021|2017|2023|2022
407,2020|2021|2023|2016|2016|2019|2021|2024|2020|2017
408,2022|2025|2018|2019|2020|2017|2021|2025|2025|2021
409,2021|2020|2018|2019|2016|2022|2024|2024|2017|2022
410,2016|2022|2024|2017|2018|2020|2019|2021|2018|2017
411,2021|2024|2025|2024|2025|2022|2024|2022|2019|2025
412,2018|2021|2016|2019|2018|2021|2016|2019|2024|2023
413,2023|2025|2019|2023|2017|2022|2019|2022|2018|2021
414,2022|2018|2018|2016|2017|2022|2023|2022|2016|2024
415,2020|2025|2022|2025|2016|2023|2019|2025|2018|2017
416,2021|2016|2016|2016|2018|2018|2016|2018|2024|2021
417,2023|2019|2019|2017|2022|2023|2017|2017|2023|2020
418,2018|2022|2022|2017|2016|2024|2023|2022|2025|2016
419,2023|2021|2023|2024|2016|2017|2020|2020|2020|2024
420,2018|2018|2021|2022|2024|2019|2022|2018|2016|2021
421,2023|2018|2018|2023|2022|2020|2019|2017|2018|2025
422,2021|2019|2021|2022|2024|2021|2020|2020|2017|2022
423,2017|2024|2016|2017|2025|2020|2017|2023|2025|2018
424,2024|2025|2020|2019|2018|2023|2016|2018|2018|2016
425,2021|2023|2020|2018|2017|2022|2024|2017|2025|2019
426,2020|2016|2018|2017|2025|2016|2025|2018|2021|2021
427,2016|2025|2024|2025|2022|2024|2024|2020|2024|2016
428,2023|2023|2017|2024|2023|2017|2017|2023|2020|2017
429,2016|2023|2019|2016|2021|2021|2016|2018|2018|2024
430,2021|2024|2023|2020|2022|2021|2024|2024|2020|2020
431,2019|2017|2018|2018|2020|2018|2018|2024|2022|2025
432,2021|2016|2020|2020|2019|2019|2019|2025|2024|2017
433,2017|2022|2016|2023|2017|2016|2021|2020|2024|2022
434,2025|2016|2016|2022|2017|2017|2020|2024|2019|2023
435,2020|2025|2021|2023|2022|2018|2017|2020|2023|2018
